outcome,GUCA2B,GLP2R,SCGN,SLC4A4,CHGA,CA2,GCNT2,PLP1,PYY,CA1,PKIB,ABCA8,RSPO2,BMP3,SLC25A34,CADM3,CLEC3B,MAMDC2,TMEM100,GFRA2,CA7,VSTM2A,HPSE2,GREM2,TMIGD1,OTOP2,GUCA2A,ELANE,LINC00974,UGT1A8,SPIB,NFE2L3,CDH3,TRIB3,CEMIP,WNT2,MTHFD1L,SLC6A6,KLHL35,CLDN1,TMEM41A,KRT80,ENC1,FUT1,CPNE7,LOC101929705,PVT1
1,5.276586956,4.245934506,3.288244856,8.247432287,9.368944675,10.43238916,5.058838883,2.52813901,5.94879182,5.465438188,8.393419453,5.301605722,3.045123398,6.309747206,5.116479545,3.490072973,5.671054719,3.954027817,4.347223065,3.490072973,4.801521717,3.393304093,4.017657881,4.486474898,6.472116257,3.742586436,9.471145073,2.52813901,2.52813901,4.017657881,5.02911679,12.46621535,10.58834078,10.24073102,12.81909602,7.452160408,10.38153233,13.84425502,5.612409997,12.46810474,10.54147344,10.33334708,12.7589111,7.44100644,8.466730981,5.94879182,8.598030885
1,1.575079433,4.193445905,3.536686345,3.905261476,1.575079433,7.260728808,4.193445905,4.811547628,2.61081381,2.61081381,4.317492262,4.811547628,3.302705964,3.733963543,4.431297339,4.193445905,6.19285392,4.63428236,4.317492262,3.905261476,2.61081381,1.575079433,4.431297339,5.707887151,1.575079433,1.575079433,4.317492262,3.011426409,1.575079433,3.536686345,3.011426409,13.58306537,11.39970078,10.64014341,11.62871509,8.336628471,10.6444836,14.08206361,8.579631052,10.7609926,10.19568966,8.706828036,12.89569888,8.232836673,12.28914111,7.534651975,8.978420561
1,1.575079433,3.049702155,1.575079433,4.024376325,1.575079433,7.599260528,3.960631882,2.257262464,1.575079433,2.257262464,6.07871895,2.257262464,2.736108534,2.5312484,3.39874616,2.257262464,4.620686178,3.177967234,4.537475152,2.257262464,2.736108534,1.575079433,3.293437799,3.893704405,1.575079433,1.575079433,4.944035113,2.5312484,1.575079433,2.736108534,3.495735699,12.81095164,12.03020424,10.73991712,12.69701534,7.971159821,10.45539747,12.10568153,5.66042414,12.46542116,10.89038693,9.627898891,12.29799958,8.024786708,9.171746637,6.953971714,8.877035142
1,2.538006233,3.682942926,2.538006233,8.524268276,4.320261723,11.44156088,4.158510778,2.744180077,2.744180077,5.170502986,8.321788464,4.038948742,2.913739583,2.262168886,3.762235551,1.575079433,5.557387888,3.682942926,3.907762634,5.1980132,4.370214171,2.744180077,3.188626388,2.744180077,2.262168886,2.744180077,6.478805071,1.575079433,2.913739583,3.837000211,3.682942926,11.41160249,11.18199755,10.67540023,13.32586304,7.504011255,10.58320738,9.903436756,7.21389007,10.62909938,10.58837918,10.00168357,11.82045897,6.884336738,9.097856751,6.023454502,9.195988548
1,7.878821885,6.204344711,5.352700598,8.691172051,9.59166462,10.81145776,6.157712722,5.175975794,6.766831954,7.743485991,7.073269281,4.738707188,4.604371309,5.582509809,5.651582689,4.0999854,5.898735357,4.0999854,4.455760382,4.738707188,6.531284945,4.861327276,5.26707516,7.193581485,5.50993445,4.289336516,10.62939121,3.615767963,2.815424735,5.26707516,6.00798898,11.35088526,11.21539034,12.21713471,10.99643683,8.015654119,10.72628868,10.66934944,7.325838242,9.737289941,10.26226853,11.18234048,11.50294753,7.921251595,8.88939646,3.879852057,8.015654119
1,1.575079433,1.575079433,4.300159024,11.53657716,4.615871798,10.96983054,6.190086284,3.840739567,1.575079433,4.724556944,9.846104197,4.587331239,1.575079433,1.575079433,4.227357641,1.575079433,3.936758297,4.068993821,3.210657922,3.033167445,3.501445505,1.575079433,2.55199813,1.575079433,5.566870707,1.575079433,3.364710033,1.575079433,1.575079433,4.026341262,5.348667235,13.16073452,11.04087473,10.84218139,11.27480959,6.492922689,10.71030205,9.894233582,6.723730531,8.118638794,10.6203821,5.279669293,12.45486221,8.974807152,8.468064914,7.257628044,8.901057863
1,3.569818244,5.18451425,3.569818244,6.592267264,5.472682819,8.711011985,6.743591413,6.306383988,3.731921537,8.024925323,8.786974817,6.944392958,5.073868882,4.33472877,5.636859819,4.599917061,4.233710428,7.441466939,4.889829802,5.852467958,4.33472877,4.822751454,4.12465745,4.006095143,3.731921537,4.006095143,5.18451425,3.569818244,1.575079433,4.12465745,3.731921537,12.0601692,6.912809814,8.72015921,11.36883649,8.311845767,10.18985324,11.76715346,7.656887915,12.37700371,10.35456352,6.990506519,12.7027242,6.830683621,6.65089269,5.675122413,10.73562711
1,5.227443198,6.388287636,2.943042216,7.388039864,7.606766319,10.11784599,5.17040103,3.448527419,5.738932356,7.069363923,6.311638121,4.916145318,2.943042216,5.435206919,4.916145318,2.943042216,5.61656046,4.20661718,5.17040103,4.085661815,5.658523094,2.559794722,4.420589855,5.956202811,4.60592227,3.805398511,8.180731142,2.559794722,1.575079433,4.769558415,3.448527419,12.01328215,10.88218469,10.73972332,13.44908881,7.388039864,10.39482534,13.30494631,8.195009154,12.68849472,10.7494293,10.73117669,12.3962265,7.98098069,10.06246979,4.317748311,8.653612956
1,2.418161964,3.198347615,2.418161964,9.34832505,5.085811124,10.45688566,6.815745895,3.198347615,3.369319508,4.546879598,8.119427666,3.774489384,2.751547007,3.885528243,4.944569189,3.198347615,4.841921632,3.369319508,3.519230721,2.418161964,4.172179464,1.575079433,3.988003651,4.083216282,3.885528243,1.575079433,5.887418199,1.575079433,1.575079433,2.997847725,3.519230721,11.43704182,8.399883407,10.29080754,11.70969523,8.113986229,10.20512776,10.31115823,7.222171596,11.2728034,9.903108031,8.41323591,12.31855283,8.469709724,9.40734226,4.841921632,7.958725319
1,2.43460056,4.169261594,3.024232962,4.656097145,5.832812824,7.010923602,4.4152693,2.773893982,1.575079433,2.43460056,6.94864383,2.620395428,1.575079433,2.9065329,4.656097145,2.773893982,5.088225266,2.773893982,3.479472612,3.401205296,3.227792699,1.575079433,3.024232962,3.130542547,2.620395428,1.575079433,7.626570985,1.575079433,2.187277707,7.375229997,4.076360617,12.5882254,11.07711335,13.1675228,14.52944119,6.460986608,11.03729125,13.58337266,4.297749749,12.75912919,10.90995539,9.343582162,12.37832412,7.766680728,9.344791065,7.914057709,8.974912134
