outcome,KRT80,SCGN,CDH3,CEMIP,BEST4,ESM1,GLP2R,OTOP2,SCARA5,ETV4,BMP3,INHBA,WNT2,TMIGD1,VSTM2A,ASPA,PCSK2,CPNE7,IL6R,LEC3B,TMEM220,GLTP,LGI1,ENPP6,SLC51B,SLC25A34,PYY,CA7,RXRG,METTL7A,SGCG,ETFDH,HPSE2,PRKG2,SLC4A4,GFRA2,CDKN2B-AS1,FAM135B,FOXQ1,TSPAN7,ABCA8,LINC00974,LINC00682,RERGL,C2orf88,LPAR1,GCG,CLDN1,GRIN2D,RDH5,OTOP3,SLC30A10,SLC25A23,TMEM100,TMEM253,GUCA2A,PLP1,SPIB,CADM3,PLPP1,KRT24
1,8.787513275,5.699069941,9.531066224,11.06893001,3.963068147,6.633083195,6.095596792,3.004833415,6.176457892,10.50047081,9.947284548,10.63872774,7.989674131,4.948302366,1.265924001,7.188546695,5.680688407,9.3629483,9.738147233,8.578021602,7.720106973,10.18544044,5.175972365,4.978827868,6.20243272,5.252792627,3.438146079,3.239973788,4.677205358,10.95764551,3.239973788,9.305749272,7.245826718,4.749980025,6.964202507,6.325710629,4.138062179,3.899427439,9.94824327,10.1000248,9.514332491,1.265924001,2.711961947,6.095596792,8.09038615,9.286167613,1.265924001,9.707898779,6.986781705,5.918816812,2.30890818,2.711961947,11.07464833,8.10765321,4.948302366,6.253017347,8.504318474,7.023645196,7.61292981,11.87225176,1.265924001
1,10.40915493,3.912402476,11.10657109,11.43119145,3.428933517,7.585101259,5.763372486,2.924446212,8.637255629,11.50576071,6.479118337,11.61927238,9.216426797,2.469153056,1.973795979,5.282412506,3.969281716,8.827465078,8.602599463,7.385485504,6.060527106,9.658388161,3.043104145,3.50966896,5.043779475,4.175910217,3.969281716,3.969281716,3.151198543,10.27666412,2.469153056,8.656389966,5.094799941,5.40856446,5.926644014,4.552392589,3.585747162,1.973795979,11.47405925,8.038401556,8.095599621,1.265924001,2.469153056,4.437753143,6.206299911,9.203476252,2.924446212,11.74797941,9.768003435,4.757066261,1.265924001,1.265924001,10.61659734,6.14734464,3.853060618,6.27400017,6.692005509,6.45015167,7.240837755,10.11778473,2.257448665
1,9.487229053,7.091264379,11.04495964,10.42724532,5.032979517,6.964128642,4.915028869,2.295486182,7.867113199,11.16781564,5.088488914,7.988211021,5.929047796,2.295486182,3.735362681,4.786421728,2.694015259,8.240641772,8.914731243,5.867137013,6.872681889,9.874552182,2.295486182,5.032979517,4.915028869,5.80243996,2.295486182,8.146204718,3.413430921,11.29722952,2.295486182,8.903227837,4.852177909,5.382704547,8.079627021,5.243144801,3.216920979,3.216920979,9.405333543,9.259584043,6.300790087,1.265924001,1.265924001,3.413430921,8.119941224,8.276750894,3.413430921,10.77207924,10.04823447,6.346848545,1.265924001,2.983933761,9.909469292,4.975223453,5.193428439,6.576791629,4.786421728,7.699873578,4.645004121,9.405333543,2.295486182
1,9.163671815,4.77328527,11.40364442,11.17811211,4.54196845,7.448902873,4.363618055,2.318595797,4.54196845,11.11684162,5.760596502,10.03049689,8.046506343,2.724901253,1.265924001,4.455614634,1.265924001,7.940467361,8.744787913,5.20036632,5.570109413,10.72810287,2.318595797,3.455926021,3.782009952,5.397128438,2.724901253,4.455614634,2.318595797,8.819334143,1.265924001,9.545870466,4.265166674,4.623344717,9.929191501,4.455614634,3.455926021,1.265924001,9.616434063,6.872385261,5.302124266,1.265924001,2.318595797,3.256567911,7.729239933,7.900624269,1.265924001,11.28873662,10.35626411,5.570109413,1.265924001,1.265924001,11.30713868,4.972148882,5.397128438,5.760596502,4.455614634,4.623344717,5.252149447,9.416244097,1.265924001
1,11.46481823,5.70465739,11.86458457,13.00976898,4.213992919,9.821235623,2.464505133,2.125273307,2.464505133,10.70493595,2.125273307,11.03784047,7.363787938,2.918330048,1.265924001,4.213992919,2.918330048,9.706045431,8.462647966,5.70465739,5.437694332,10.3336515,2.464505133,2.918330048,7.056002403,4.824373778,3.24361807,4.408295763,2.918330048,8.733782182,1.265924001,7.810417582,2.918330048,5.249856745,4.467514032,3.501988961,2.918330048,2.464505133,10.70797086,8.319178501,2.918330048,1.265924001,1.265924001,2.125273307,7.467732805,7.939982818,3.091717329,12.04101232,11.1669615,6.873354134,1.265924001,3.379234696,11.26706802,3.717845257,5.408048655,6.664157891,2.918330048,4.631569961,4.578973037,9.833793511,2.125273307
1,9.82503151,4.789010653,11.48072753,12.26187636,5.850867628,6.615976728,5.012811852,4.594498716,8.100264112,10.95786299,6.581653994,9.826863125,8.969918221,7.713486607,5.063672728,4.523232901,1.265924001,6.229245356,7.933467219,6.336089341,6.137666945,10.24090987,1.265924001,4.099930498,7.721386339,6.229245356,6.473489198,5.850867628,2.905905819,10.49586994,2.245643095,9.295054676,5.206216215,4.905302987,9.349584957,4.594498716,7.148642221,4.195461574,10.6267473,7.345517872,5.96188506,2.627172711,1.265924001,2.905905819,8.395113182,8.434088277,6.730050294,10.70451916,9.913877625,4.905302987,1.265924001,5.29391814,10.242283,4.594498716,5.206216215,10.51530944,4.848344716,6.416200596,4.727090713,9.903500514,1.265924001
1,9.446701502,4.726604898,10.59062161,11.68161313,4.489140677,8.457921592,5.290822547,1.265924001,4.689691323,12.63676065,6.363353722,10.01962538,8.281587806,5.948336842,1.265924001,4.991766256,3.843411994,9.221615887,7.783417661,7.402943268,6.203611722,10.28722469,3.136555279,3.698829471,6.568944242,6.291821301,2.718951483,2.536667856,2.314140121,11.18604347,2.015090264,8.877571194,5.558570119,5.598710297,6.485926339,3.44775451,5.162581157,2.718951483,9.740879739,8.68876069,4.689691323,3.536827606,2.875249094,3.248940347,7.425385003,8.004457545,2.536667856,12.0233705,6.363353722,5.215264865,2.718951483,3.536827606,11.29324477,5.712807392,5.656891627,8.344755592,4.093485115,6.431500797,5.496172883,9.6437566,2.875249094
1,10.52228027,3.437579427,13.19974269,12.67376697,4.695013334,7.203826077,4.695013334,1.265924001,5.094016839,12.86822416,3.437579427,9.353411359,8.079051632,3.832051863,1.265924001,2.867187968,2.867187968,10.35354669,7.970052851,5.613628072,6.354109811,10.38749705,1.265924001,2.867187968,7.326830411,6.030995717,2.425724033,4.599761557,2.425724033,9.710406428,1.265924001,9.283007961,4.268038765,4.268038765,4.784267309,3.437579427,2.867187968,1.265924001,9.151915814,6.978437953,3.832051863,1.265924001,1.265924001,1.265924001,6.688393548,8.244197349,2.425724033,11.98075967,10.69203928,6.264554703,1.265924001,1.265924001,11.62101815,3.437579427,4.784267309,3.993160287,2.867187968,4.497629357,4.947541135,9.164337893,1.265924001
1,12.0446959,2.284907458,10.94062373,12.78279771,4.377575917,9.145233517,4.948628738,3.198700835,5.598544333,11.76576267,2.679854409,9.971353345,8.408957451,4.377575917,3.393884549,3.713876268,2.284907458,10.33618255,9.908924011,5.061581173,5.310153107,10.3347864,1.265924001,3.713876268,7.14017978,4.888609269,3.713876268,4.888609269,2.284907458,9.10320998,2.284907458,9.161075969,3.849146564,3.972203858,6.527859177,4.286736281,4.189588033,2.284907458,10.9397056,8.752146872,4.543341087,1.265924001,1.265924001,1.265924001,8.240237821,7.214958808,3.198700835,12.65269479,11.03563398,5.773986984,1.265924001,4.286736281,10.84480977,2.967427832,5.006222546,7.088081726,2.679854409,4.377575917,2.967427832,8.752146872,1.265924001
1,11.36618814,4.244340689,12.63964329,11.87806986,2.211360449,8.195846449,5.200053115,1.265924001,5.396809945,11.52446602,5.41507722,10.24067516,8.561384457,1.265924001,2.211360449,3.919326524,2.724734683,8.995738423,10.25780144,6.564519036,5.135334269,10.12445168,2.851858904,2.581020019,7.097430176,3.919326524,2.211360449,3.070790284,2.724734683,10.45658363,1.940318419,8.544941678,3.865951292,5.536819837,5.41507722,4.541678228,4.158981301,2.581020019,8.650537461,8.07220796,6.107280625,1.940318419,1.265924001,2.581020019,7.152748012,7.307004916,1.265924001,13.78406009,10.1292849,5.261970015,1.265924001,1.940318419,11.29546215,4.758685693,4.669719503,5.044214508,5.536819837,4.996376821,6.162276329,9.690376802,1.265924001
